,model,mean_residual,l2_relative_error,mse,ratio,epoch,model_version
0,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,49000.0,full_epochs
1,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_test_loss
2,if,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_train_loss
3,random,0.009875853,0.061167140891245926,0.0014120511658574047,0,49000.0,full_epochs
4,random,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_test_loss
5,random,0.009875853,0.061167140891245926,0.0014120511658574047,0,10000.0,best_train_loss
6,if,0.008095758,0.06586766124580877,0.0016374142227774601,0.01,49000.0,full_epochs
7,if,0.008095758,0.06586766124580877,0.0016374142227774601,0.01,10000.0,best_test_loss
8,if,0.008192212,0.06544802489951551,0.0016166170750775107,0.01,9000.0,best_train_loss
9,random,0.009868864,0.0609608044790406,0.0014025406297806422,0.01,49000.0,full_epochs
10,random,0.009868864,0.0609608044790406,0.0014025406297806422,0.01,10000.0,best_test_loss
11,random,0.009868864,0.0609608044790406,0.0014025406297806422,0.01,10000.0,best_train_loss
12,if,0.008485151,0.07525082968522062,0.002137158129997255,0.02,49000.0,full_epochs
13,if,0.010088021,0.0403808336332937,0.000615410118573897,0.02,4000.0,best_test_loss
14,if,0.009095784,0.05201577384467841,0.001021137439524678,0.02,6000.0,best_train_loss
15,random,0.010030869,0.06122084495325988,0.0014145317844536703,0.02,49000.0,full_epochs
16,random,0.009949941,0.06159815879588408,0.0014320214852825868,0.02,9000.0,best_test_loss
17,random,0.009949941,0.06159815879588408,0.0014320214852825868,0.02,9000.0,best_train_loss
18,if,0.008904492,0.08306060989986523,0.0026037800990242133,0.03,49000.0,full_epochs
19,if,0.009386133,0.024308527697409973,0.00022301361779313163,0.03,7000.0,best_test_loss
20,if,0.008904492,0.08306060989986523,0.0026037800990242133,0.03,10000.0,best_train_loss
21,random,0.010181024,0.06047469402503645,0.0013802616811217998,0.03,49000.0,full_epochs
22,random,0.009935429,0.0618535681656622,0.0014439215155755416,0.03,9000.0,best_test_loss
23,random,0.009935429,0.0618535681656622,0.0014439215155755416,0.03,9000.0,best_train_loss
24,if,0.009198259,0.036661376183687554,0.0005072611460227158,0.04,49000.0,full_epochs
25,if,0.009198259,0.036661376183687554,0.0005072611460227158,0.04,10000.0,best_test_loss
26,if,0.009198259,0.036661376183687554,0.0005072611460227158,0.04,10000.0,best_train_loss
27,random,0.009897577,0.060982800082163474,0.0014035529291703856,0.04,49000.0,full_epochs
