,mean_residual,l2_relative_error,mse,method,ratio,seed,n_iterations,num_domain,num_boundary,num_initial,n_candidate_points,hard_constrained,model_version,influence_sign
0,0.017300708,0.14775697084125172,0.008239674012751603,RAR,0.0,1,10000,2540,80,160,10000,False,train,pos
1,0.017300708,0.14775697084125172,0.008239674012751603,RAR,0.0,1,10000,2540,80,160,10000,False,test,pos
2,0.017300708,0.14775697084125172,0.008239674012751603,RAR,0.0,1,10000,2540,80,160,10000,False,10k,pos
3,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,train,abs
4,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,test,abs
5,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,10k,abs
6,0.0113640055,0.10022598153642527,0.003791182648597804,IF,0.0,1,50000,2540,80,160,10000,False,train,abs
7,0.011774456,0.10871815833909544,0.0044608564275444365,IF,0.0,1,50000,2540,80,160,10000,False,test,abs
8,0.012507848,0.09994191443540694,0.003769722662551797,IF,0.0,1,50000,2540,80,160,10000,False,10k,abs
9,0.027339118,0.04226945527845199,0.0006743220702552656,RAR,0.01,0,50000,2540,80,160,10000,True,train,abs
10,0.028178573,0.042090620569072194,0.000668628261883159,RAR,0.01,0,50000,2540,80,160,10000,True,test,abs
11,0.02812052,0.04233179412642108,0.0006763125126850122,RAR,0.01,0,50000,2540,80,160,10000,True,10k,abs
12,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,train,neg
13,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,test,neg
14,0.019158162,0.18219746242245605,0.012528489686936378,RAR,0.08,1,10000,2540,80,160,10000,False,10k,neg
15,0.00976193,0.02674991751669849,0.00027005919344856463,IF,0.06,1,50000,2540,80,160,10000,False,train,pos
16,0.00976193,0.02674991751669849,0.00027005919344856463,IF,0.06,1,50000,2540,80,160,10000,False,test,pos
17,0.0099961115,0.02640172304497895,0.00026307441528870373,IF,0.06,1,50000,2540,80,160,10000,False,10k,pos
18,0.03477107,0.039370618728804464,0.0005850036177590914,RAR,0.04,0,10000,2540,80,160,10000,True,train,pos
19,0.03477107,0.039370618728804464,0.0005850036177590914,RAR,0.04,0,10000,2540,80,160,10000,True,test,pos
20,0.03477107,0.039370618728804464,0.0005850036177590914,RAR,0.04,0,10000,2540,80,160,10000,True,10k,pos
21,0.027339118,0.04226945527845199,0.0006743220702552656,RAR,0.01,0,50000,2540,80,160,10000,True,train,pos
22,0.028178573,0.042090620569072194,0.000668628261883159,RAR,0.01,0,50000,2540,80,160,10000,True,test,pos
23,0.02812052,0.04233179412642108,0.0006763125126850122,RAR,0.01,0,50000,2540,80,160,10000,True,10k,pos
24,0.029011821,0.030577926971678868,0.00035288252317630284,RAR,0.0,0,10000,2540,80,160,10000,True,train,pos
25,0.031496382999999996,0.03177065071297384,0.00038094852095677586,RAR,0.0,0,10000,2540,80,160,10000,True,test,pos
26,0.029011821,0.030577926971678868,0.00035288252317630284,RAR,0.0,0,10000,2540,80,160,10000,True,10k,pos
